date,open,close
2012-04-08,2,67
2012-04-15,2,78
2012-04-22,3,81
2012-04-29,2,77
2012-05-06,3,72
2012-05-13,2,78
2012-05-20,3,88
2012-05-27,3,87
2012-06-03,4,88
2012-06-10,4,87
2012-06-17,4,97
2012-06-24,4,97
2012-07-01,4,100
2012-07-08,5,100
2012-07-15,5,95
2012-07-22,4,84
2012-07-29,4,79
2012-08-05,3,77
2012-08-12,3,77
2012-08-19,3,75
2012-08-26,2,68
2012-09-02,2,61
2012-09-09,2,58
2012-09-16,2,60
2012-09-23,2,50
2012-09-30,2,45
2012-10-07,1,39
2012-10-14,1,35
2012-10-21,1,33
2012-10-28,1,32
2012-11-04,1,34
2012-11-11,1,33
2012-11-18,1,29
2012-11-25,1,31
2012-12-02,1,31
2012-12-09,1,31
2012-12-16,1,26
2012-12-23,1,28
2012-12-30,1,35
2013-01-06,1,40
2013-01-13,1,42
2013-01-20,1,46
2013-01-27,1,49
2013-02-03,2,58
2013-02-10,2,55
2013-02-17,1,64
2013-02-24,1,67
2013-03-03,2,69
2013-03-10,2,67
2013-03-17,2,68
2013-03-24,1,66
2013-03-31,1,66
2013-04-07,2,68
2013-04-14,2,77
2013-04-21,2,77
2013-04-28,2,81
2013-05-05,2,75
2013-05-12,2,77
2013-05-19,2,90
2013-05-26,2,87
2013-06-02,3,84
2013-06-09,3,86
2013-06-16,3,91
2013-06-23,4,94
2013-06-30,4,99
2013-07-07,4,100
2013-07-14,4,97
2013-07-21,4,94
2013-07-28,4,93
2013-08-04,3,83
2013-08-11,3,79
2013-08-18,2,78
2013-08-25,2,70
2013-09-01,1,69
2013-09-08,1,57
2013-09-15,1,56
2013-09-22,1,48
2013-09-29,1,48
2013-10-06,1,44
2013-10-13,1,42
2013-10-20,1,35
2013-10-27,1,33
2013-11-03,1,37
2013-11-10,1,34
2013-11-17,1,31
2013-11-24,1,32
2013-12-01,1,33
2013-12-08,1,32
2013-12-15,1,28
2013-12-22,1,27
2013-12-29,1,34
2014-01-05,1,47
2014-01-12,1,57
2014-01-19,1,50
2014-01-26,1,55
2014-02-02,1,55
2014-02-09,1,50
2014-02-16,1,56
2014-02-23,1,65
2014-03-02,1,64
2014-03-09,1,69
2014-03-16,1,65
2014-03-23,1,68
2014-03-30,1,72
2014-04-06,2,70
2014-04-13,2,76
2014-04-20,2,77
2014-04-27,2,83
2014-05-04,2,75
2014-05-11,2,75
2014-05-18,2,88
2014-05-25,2,83
2014-06-01,2,81
2014-06-08,3,82
2014-06-15,3,82
2014-06-22,3,93
2014-06-29,3,93
2014-07-06,4,98
2014-07-13,4,96
2014-07-20,4,89
2014-07-27,3,83
2014-08-03,3,86
2014-08-10,3,77
2014-08-17,2,71
2014-08-24,2,69
2014-08-31,1,61
2014-09-07,1,53
2014-09-14,1,55
2014-09-21,1,49
2014-09-28,1,49
2014-10-05,1,43
2014-10-12,1,40
2014-10-19,1,36
2014-10-26,1,32
2014-11-02,1,34
2014-11-09,1,30
2014-11-16,1,32
2014-11-23,1,30
2014-11-30,1,33
2014-12-07,1,30
2014-12-14,1,29
2014-12-21,1,28
2014-12-28,1,34
2015-01-04,1,44
2015-01-11,1,50
2015-01-18,1,46
2015-01-25,1,53
2015-02-01,1,50
2015-02-08,1,52
2015-02-15,1,52
2015-02-22,1,59
2015-03-01,1,66
2015-03-08,1,61
2015-03-15,1,59
2015-03-22,1,64
2015-03-29,1,64
2015-04-05,1,63
2015-04-12,1,70
2015-04-19,2,69
2015-04-26,1,72
2015-05-03,1,69
2015-05-10,2,71
2015-05-17,2,86
2015-05-24,2,92
2015-05-31,2,92
2015-06-07,3,87
2015-06-14,3,88
2015-06-21,3,95
2015-06-28,3,85
2015-07-05,3,94
2015-07-12,3,98
2015-07-19,3,89
2015-07-26,3,84
2015-08-02,3,83
2015-08-09,2,75
2015-08-16,2,69
2015-08-23,1,69
2015-08-30,1,67
2015-09-06,1,60
2015-09-13,1,57
2015-09-20,1,59
2015-09-27,1,50
2015-10-04,1,41
2015-10-11,1,45
2015-10-18,1,35
2015-10-25,1,34
2015-11-01,1,34
2015-11-08,1,32
2015-11-15,1,31
2015-11-22,1,29
2015-11-29,1,33
2015-12-06,1,32
2015-12-13,1,32
2015-12-20,1,29
2015-12-27,1,36
2016-01-03,1,48
2016-01-10,1,47
2016-01-17,1,49
2016-01-24,1,49
2016-01-31,1,48
2016-02-07,1,52
2016-02-14,1,51
2016-02-21,1,56
2016-02-28,1,60
2016-03-06,1,58
2016-03-13,1,59
2016-03-20,1,59
2016-03-27,1,58
2016-04-03,1,62
2016-04-10,2,63
2016-04-17,2,71
2016-04-24,2,70
2016-05-01,1,67
2016-05-08,2,65
2016-05-15,2,67
2016-05-22,2,81
2016-05-29,2,91
2016-06-05,2,83
2016-06-12,2,77
2016-06-19,3,81
2016-06-26,3,78
2016-07-03,3,90
2016-07-10,3,85
2016-07-17,3,89
2016-07-24,3,83
2016-07-31,3,79
2016-08-07,2,68
2016-08-14,2,64
2016-08-21,2,70
2016-08-28,1,64
2016-09-04,1,61
2016-09-11,1,52
2016-09-18,1,47
2016-09-25,1,47
2016-10-02,1,40
2016-10-09,1,37
2016-10-16,1,35
2016-10-23,1,34
2016-10-30,1,45
2016-11-06,1,30
2016-11-13,1,30
2016-11-20,1,29
2016-11-27,1,33
2016-12-04,1,30
2016-12-11,1,28
2016-12-18,1,26
2016-12-25,1,31
2017-01-01,1,42
2017-01-08,1,45
2017-01-15,1,44
2017-01-22,1,47
2017-01-29,1,51
2017-02-05,1,46
2017-02-12,1,47
2017-02-19,1,54
2017-02-26,1,57
2017-03-05,1,53
2017-03-12,1,52
2017-03-19,1,54
2017-03-26,1,59
