date,value
2010-01,28
2010-02,36
2010-03,42
2010-04,38
2010-05,35
2010-06,10
2010-07,3
2010-08,3
2010-09,14
2010-10,25
2010-11,34
2010-12,27
2011-01,31
2011-02,44
2011-03,46
2011-04,37
2011-05,39
2011-06,9
2011-07,4
2011-08,5
2011-09,19
2011-10,30
2011-11,39
2011-12,33
2012-01,36
2012-02,50
2012-03,44
2012-04,40
2012-05,40
2012-06,9
2012-07,4
2012-08,6
2012-09,20
2012-10,32
2012-11,41
2012-12,38
2013-01,37
2013-02,56
2013-03,46
2013-04,49
2013-05,45
2013-06,11
2013-07,4
2013-08,6
2013-09,22
2013-10,39
2013-11,48
2013-12,43
2014-01,41
2014-02,62
2014-03,61
2014-04,56
2014-05,52
2014-06,12
2014-07,4
2014-08,6
2014-09,21
2014-10,39
2014-11,53
2014-12,48
2015-01,45
2015-02,68
2015-03,66
2015-04,66
2015-05,62
2015-06,15
2015-07,4
2015-08,6
2015-09,24
2015-10,43
2015-11,63
2015-12,53
2016-01,54
2016-02,80
2016-03,73
2016-04,75
2016-05,68
2016-06,15
2016-07,4
2016-08,7
2016-09,28
2016-10,41
2016-11,62
2016-12,50
2017-01,58
2017-02,79
2017-03,100
