date,close,open
2013-01-06,2,3
2013-01-13,2,2
2013-01-20,3,4
2013-01-27,2,35
2013-02-03,100,76
2013-02-10,8,56
2013-02-17,4,52
2013-02-24,3,42
2013-03-03,3,40
2013-03-10,3,33
2013-03-17,2,29
2013-03-24,2,26
2013-03-31,2,22
2013-04-07,2,19
2013-04-14,2,16
2013-04-21,3,20
2013-04-28,2,21
2013-05-05,2,16
2013-05-12,2,15
2013-05-19,3,15
2013-05-26,2,18
2013-06-02,2,15
2013-06-09,1,15
2013-06-16,1,14
2013-06-23,1,15
2013-06-30,1,16
2013-07-07,1,16
2013-07-14,1,26
2013-07-21,2,26
2013-07-28,6,22
2013-08-04,2,21
2013-08-11,2,20
2013-08-18,3,21
2013-08-25,3,21
2013-09-01,5,20
2013-09-08,2,15
2013-09-15,3,17
2013-09-22,3,29
2013-09-29,3,18
2013-10-06,4,17
2013-10-13,4,16
2013-10-20,5,15
2013-10-27,3,14
2013-11-03,2,13
2013-11-10,3,13
2013-11-17,2,12
2013-11-24,2,13
2013-12-01,2,15
2013-12-08,2,18
2013-12-15,2,22
2013-12-22,2,23
2013-12-29,2,31
