date,value
2010-01,43
2010-02,48
2010-03,50
2010-04,56
2010-05,49
2010-06,41
2010-07,38
2010-08,30
2010-09,32
2010-10,34
2010-11,36
2010-12,32
2011-01,39
2011-02,44
2011-03,44
2011-04,46
2011-05,44
2011-06,37
2011-07,36
2011-08,30
2011-09,32
2011-10,37
2011-11,37
2011-12,33
2012-01,37
2012-02,42
2012-03,40
2012-04,43
2012-05,40
2012-06,35
2012-07,31
2012-08,30
2012-09,29
2012-10,30
2012-11,31
2012-12,30
2013-01,34
2013-02,41
2013-03,37
2013-04,43
2013-05,39
2013-06,31
2013-07,29
2013-08,26
2013-09,28
2013-10,30
2013-11,32
2013-12,29
2014-01,33
2014-02,38
2014-03,38
2014-04,44
2014-05,40
2014-06,30
2014-07,28
2014-08,26
2014-09,25
2014-10,28
2014-11,31
2014-12,30
2015-01,34
2015-02,36
2015-03,38
2015-04,43
2015-05,40
2015-06,27
2015-07,25
2015-08,24
2015-09,25
2015-10,29
2015-11,32
2015-12,28
2016-01,36
2016-02,40
2016-03,39
2016-04,68
2016-05,41
2016-06,27
2016-07,25
2016-08,23
2016-09,26
2016-10,28
2016-11,31
2016-12,29
2017-01,36
2017-02,41
2017-03,43
