Category: All categories

Week,Twelfth Night: (United States),She's the Man: (United States)
2006-01-01,34,1
2006-01-08,13,0
2006-01-15,12,3
2006-01-22,9,2
2006-01-29,12,4
2006-02-05,12,4
2006-02-12,16,7
2006-02-19,12,22
2006-02-26,16,23
2006-03-05,18,23
2006-03-12,11,61
2006-03-19,24,100
2006-03-26,17,77
2006-04-02,20,46
2006-04-09,11,29
2006-04-16,13,19
2006-04-23,17,10
2006-04-30,16,12
2006-05-07,16,10
2006-05-14,12,7
2006-05-21,10,9
2006-05-28,12,9
2006-06-04,5,7
2006-06-11,7,9
2006-06-18,7,6
2006-06-25,3,9
2006-07-02,26,19
2006-07-09,11,14
2006-07-16,8,51
2006-07-23,8,61
2006-07-30,8,49
2006-08-06,7,43
2006-08-13,8,31
2006-08-20,6,25
2006-08-27,6,20
2006-09-03,7,26
2006-09-10,9,14
2006-09-17,11,18
2006-09-24,13,10
2006-10-01,15,11
2006-10-08,12,11
2006-10-15,13,8
2006-10-22,12,8
2006-10-29,14,8
2006-11-05,13,9
2006-11-12,16,7
2006-11-19,12,10
2006-11-26,16,7
2006-12-03,10,8
2006-12-10,15,8
2006-12-17,10,6
2006-12-24,8,11
2006-12-31,24,13
